Date,PX_LAST,PX_VOLUME
12/31/2014,110.38,41403351
1/2/2015,109.33,53204626
1/5/2015,106.25,64285491
1/6/2015,106.26,65797116
1/7/2015,107.75,40105934
1/8/2015,111.89,59364547
1/9/2015,112.01,53699527
1/12/2015,109.25,49650790
1/13/2015,110.22,67091928
1/14/2015,109.8,48956588
1/15/2015,106.82,60013996
1/16/2015,105.99,78513345
1/20/2015,108.72,49899907
1/21/2015,109.55,48575897
1/22/2015,112.4,53796409
1/23/2015,112.98,46464828
1/26/2015,113.1,55614979
1/27/2015,109.14,95568749
1/28/2015,115.31,146477063
1/29/2015,118.9,84436432
1/30/2015,117.16,83745461
2/2/2015,118.63,62739100
2/3/2015,118.65,51915749
2/4/2015,119.56,70149743
2/5/2015,119.94,42246245
2/6/2015,118.93,43706567
2/9/2015,119.72,38889797
2/10/2015,122.02,62008506
2/11/2015,124.88,73561797
2/12/2015,126.46,74474466
2/13/2015,127.08,54272219
2/17/2015,127.83,63152405
2/18/2015,128.715,44891737
2/19/2015,128.45,37362381
2/20/2015,129.495,48948419
2/23/2015,133,70974110
2/24/2015,132.17,69228130
2/25/2015,128.79,74711746
2/26/2015,130.415,91287529
2/27/2015,128.46,62014847
3/2/2015,129.09,48096663
3/3/2015,129.36,37816283
3/4/2015,128.54,31666340
3/5/2015,126.41,56517146
3/6/2015,126.6,72842060
3/9/2015,127.14,88528487
3/10/2015,124.51,68856582
3/11/2015,122.24,68938974
3/12/2015,124.45,48362719
3/13/2015,123.59,51827283
3/16/2015,124.95,35874300
3/17/2015,127.04,51023104
3/18/2015,128.47,65270945
3/19/2015,127.495,45809490
3/20/2015,125.9,68695136
3/23/2015,127.21,37709674
3/24/2015,126.69,32842304
3/25/2015,123.38,51655177
3/26/2015,124.24,47572869
3/27/2015,123.25,39546151
3/30/2015,126.37,47099670
3/31/2015,124.43,42090553
4/1/2015,124.25,40621437
4/2/2015,125.32,32220131
4/6/2015,127.35,37193975
4/7/2015,126.01,35012268
4/8/2015,125.6,37329243
4/9/2015,126.56,32483974
4/10/2015,127.1,40187953
4/13/2015,126.85,36365123
4/14/2015,126.3,25524593
4/15/2015,126.78,28970419
4/16/2015,126.17,28368987
4/17/2015,124.75,51957046
4/20/2015,127.6,47054310
4/21/2015,126.91,32435057
4/22/2015,128.62,37654505
4/23/2015,129.67,45770902
4/24/2015,130.28,44525905
4/27/2015,132.65,96954207
4/28/2015,130.56,118923970
4/29/2015,128.64,63386083
4/30/2015,125.15,83195423
5/1/2015,128.95,58512638
5/4/2015,128.7,50988278
5/5/2015,125.8,49271416
5/6/2015,125.01,72141010
5/7/2015,125.26,43940895
5/8/2015,127.62,55550382
5/11/2015,126.32,42035757
5/12/2015,125.865,48160032
5/13/2015,126.01,34694235
5/14/2015,128.95,45203456
5/15/2015,128.77,38208034
5/18/2015,130.19,50882918
5/19/2015,130.07,44633240
5/20/2015,130.06,36454932
5/21/2015,131.39,39730364
5/22/2015,132.54,45595972
5/26/2015,129.62,70697560
5/27/2015,132.045,45833246
5/28/2015,131.78,30733309
5/29/2015,130.28,50884452
6/1/2015,130.535,32112797
6/2/2015,129.96,33667627
6/3/2015,130.12,30983542
6/4/2015,129.36,38450118
6/5/2015,128.65,35626800
6/8/2015,127.8,52674786
6/9/2015,127.42,56075420
6/10/2015,128.88,39087250
6/11/2015,128.59,35390887
6/12/2015,127.17,36886246
6/15/2015,126.92,43988946
6/16/2015,127.6,31494131
6/17/2015,127.3,32918071
6/18/2015,127.88,35407220
6/19/2015,126.6,54716887
6/22/2015,127.61,34039345
6/23/2015,127.03,30268863
6/24/2015,128.11,55280855
6/25/2015,127.5,31938100
6/26/2015,126.75,44066841
6/29/2015,124.53,49161427
6/30/2015,125.425,44370682
7/1/2015,126.6,30238811
7/2/2015,126.44,27210952
7/6/2015,126,28060431
7/7/2015,125.69,46946811
7/8/2015,122.57,60761614
7/9/2015,120.07,78595038
7/10/2015,123.28,61354474
7/13/2015,125.66,41440538
7/14/2015,125.61,31768139
7/15/2015,126.82,33649200
7/16/2015,128.51,36222447
7/17/2015,129.62,46164710
7/20/2015,132.07,58900203
7/21/2015,130.75,76756427
7/22/2015,125.22,115450607
7/23/2015,125.16,50999452
7/24/2015,124.5,42162332
7/27/2015,122.77,44455540
7/28/2015,123.38,33618097
7/29/2015,122.99,37011653
7/30/2015,122.37,33628268
7/31/2015,121.3,42884953
8/3/2015,118.44,69975968
8/4/2015,114.64,124138623
8/5/2015,115.4,99312613
8/6/2015,115.13,52903040
8/7/2015,115.52,38670405
8/10/2015,119.72,54951597
8/11/2015,113.49,97082814
8/12/2015,115.24,101685610
8/13/2015,115.15,48535789
8/14/2015,115.96,42929516
8/17/2015,117.16,40884745
8/18/2015,116.5,34560708
8/19/2015,115.01,48286510
8/20/2015,112.65,68501622
8/21/2015,105.76,128275471
8/24/2015,103.12,162206292
8/25/2015,103.74,103601599
8/26/2015,109.69,96774611
8/27/2015,112.92,84616056
8/28/2015,113.29,53164407
8/31/2015,112.76,56229271
9/1/2015,107.72,76845860
9/2/2015,112.34,61888812
9/3/2015,110.37,53233940
9/4/2015,109.27,49996311
9/8/2015,112.31,54843626
9/9/2015,110.15,85010804
9/10/2015,112.57,62892831
9/11/2015,114.21,49915473
9/14/2015,115.31,58363431
9/15/2015,116.28,43341155
9/16/2015,116.41,37173489
9/17/2015,113.92,64112641
9/18/2015,113.45,74285291
9/21/2015,115.21,50221965
9/22/2015,113.4,50346159
9/23/2015,114.32,35756716
9/24/2015,115,50219475
9/25/2015,114.71,56151926
9/28/2015,112.44,52109011
9/29/2015,109.06,73365384
9/30/2015,110.3,66473033
10/1/2015,109.58,63929100
10/2/2015,110.38,58019758
10/5/2015,110.78,52064743
10/6/2015,111.31,48856977
10/7/2015,110.78,46765550
10/8/2015,109.5,61979577
10/9/2015,112.12,52766140
10/12/2015,111.6,30467204
10/13/2015,111.79,33049256
10/14/2015,110.21,44462449
10/15/2015,111.86,37673452
10/16/2015,111.04,39232609
10/19/2015,111.73,29759153
10/20/2015,113.77,48967763
10/21/2015,113.76,42326974
10/22/2015,115.5,41654089
