Date,PX_LAST,PX_VOLUME
12/31/2014,7.1299,564590
1/2/2015,7.3699,647344
1/5/2015,7.9399,1423338
1/6/2015,8.4599,1771744
1/7/2015,8.1199,1217386
1/8/2015,7.7699,813317
1/9/2015,7.9799,856820
1/12/2015,8.2199,1133425
1/13/2015,7.6399,1353712
1/14/2015,7.5199,1001275
1/15/2015,7.8599,1317333
1/16/2015,8.1799,1212210
1/20/2015,8.3799,1118645
1/21/2015,7.8899,1313600
1/22/2015,7.0399,1684978
1/23/2015,6.0399,1945104
1/26/2015,5.7599,1508002
1/27/2015,5.7999,1691999
1/28/2015,5.5599,1231502
1/29/2015,5.1599,1280444
1/30/2015,5.2999,970581
2/2/2015,5.4399,1610358
2/3/2015,5.4699,1205960
2/4/2015,5.7599,1773707
2/5/2015,5.7699,926743
2/6/2015,5.5799,1025709
2/9/2015,5.7399,609444
2/10/2015,5.6099,775934
2/11/2015,5.6099,509619
2/12/2015,5.7499,498772
2/13/2015,5.7799,493752
2/17/2015,5.7299,806682
2/18/2015,5.8599,1235840
2/19/2015,5.7799,671419
2/20/2015,5.7499,1518317
2/23/2015,5.8499,568948
2/24/2015,5.8399,371399
2/25/2015,6.0699,530958
2/26/2015,6.1799,591423
2/27/2015,6.0499,622966
3/2/2015,5.9399,491055
3/3/2015,5.9099,379061
3/4/2015,5.9799,350840
3/5/2015,5.9399,397284
3/6/2015,5.7599,911561
3/9/2015,5.6199,904837
3/10/2015,5.4699,830696
3/11/2015,5.6799,734459
3/12/2015,5.7799,656961
3/13/2015,5.8899,515123
3/16/2015,5.7299,734270
3/17/2015,5.5099,778612
3/18/2015,5.9199,844956
3/19/2015,6.0399,646793
3/20/2015,6.2499,3874090
3/23/2015,6.7399,893382
3/24/2015,6.6599,507652
3/25/2015,6.4799,623935
3/26/2015,6.2799,614289
3/27/2015,6.3499,456957
3/30/2015,6.0699,505419
3/31/2015,5.8599,1036158
4/1/2015,5.8199,1149458
4/2/2015,5.6799,590418
4/6/2015,5.8199,593653
4/7/2015,5.7499,442546
4/8/2015,5.8499,613613
4/9/2015,5.7499,665396
4/10/2015,5.8899,488058
4/13/2015,6.2799,1628767
4/14/2015,6.2199,1296672
4/15/2015,6.3299,1021311
4/16/2015,6.4199,823855
4/17/2015,6.6399,1038751
4/20/2015,6.8499,836426
4/21/2015,7.1299,2119481
4/22/2015,6.7399,890095
4/23/2015,6.8199,835911
4/24/2015,6.7099,632573
4/27/2015,6.7999,764262
4/28/2015,7.1199,1073402
4/29/2015,7.1299,1075477
4/30/2015,6.9199,699267
5/1/2015,6.9099,483555
5/4/2015,7.1199,708672
5/5/2015,6.9599,788330
5/6/2015,6.7799,527664
5/7/2015,7.0099,895240
5/8/2015,7.1299,565036
5/11/2015,7.0699,495537
5/12/2015,7.2899,524540
5/13/2015,7.3899,885307
5/14/2015,7.2199,671622
5/15/2015,7.2299,428707
5/18/2015,7.0099,388167
5/19/2015,6.7999,637914
5/20/2015,7.0099,394437
5/21/2015,7.0099,895319
5/22/2015,6.8599,742584
5/26/2015,6.6699,706253
5/27/2015,6.4499,617662
5/28/2015,6.4599,721439
5/29/2015,6.5199,581350
6/1/2015,6.3799,386013
6/2/2015,6.5999,522104
6/3/2015,6.2999,614830
6/4/2015,6.1799,228650
6/5/2015,6.1299,326946
6/8/2015,6.3099,582229
6/9/2015,6.0799,313832
6/10/2015,6.1699,505960
6/11/2015,5.9799,931163
6/12/2015,5.9199,439875
6/15/2015,6.1099,802628
6/16/2015,6.1699,592824
6/17/2015,6.2499,799691
6/18/2015,6.0699,1071759
6/19/2015,6.0899,3029618
