Date,PX_LAST,PX_VOLUME
12/31/2014,114.88,869975
1/2/2015,114.44,855337
1/5/2015,112.57,1533739
1/6/2015,111.58,1768670
1/7/2015,113.17,1570279
1/8/2015,115,1348786
1/9/2015,113.37,1349012
1/12/2015,112,1211826
1/13/2015,112.17,1615520
1/14/2015,109.85,1742404
1/15/2015,109.82,1346401
1/16/2015,111.75,1466795
1/20/2015,110.47,1393221
1/21/2015,110.54,1202773
1/22/2015,113.43,1840295
1/23/2015,112.88,1079652
1/26/2015,112.9,1181943
1/27/2015,111.3,1597360
1/28/2015,109.3,2009965
1/29/2015,110.13,1484494
1/30/2015,107.96,2187934
2/2/2015,109.31,1725904
2/3/2015,111.01,1260576
2/4/2015,111.62,1508980
2/5/2015,113.1,1383233
2/6/2015,112.88,1293888
2/9/2015,111.97,859743
2/10/2015,111.75,1213513
2/11/2015,112.46,780057
2/12/2015,112.96,812446
2/13/2015,113.05,609274
2/17/2015,113.91,1227915
2/18/2015,113.71,865435
2/19/2015,113.92,767992
2/20/2015,114.5,1242195
2/23/2015,113.56,1313148
2/24/2015,114.51,1407220
2/25/2015,114.23,1170904
2/26/2015,114.78,1083632
2/27/2015,114.01,1345824
3/2/2015,114.37,1239699
3/3/2015,113.83,1141648
3/4/2015,112.6,1285432
3/5/2015,113.19,827017
3/6/2015,111.98,1476408
3/9/2015,112.83,797358
3/10/2015,110.11,1128083
3/11/2015,110.82,879332
3/12/2015,112.69,902107
3/13/2015,111.74,1322220
3/16/2015,114,1266263
3/17/2015,113.36,1248410
3/18/2015,114.75,1559715
3/19/2015,113.68,1554400
3/20/2015,113.54,3764492
3/23/2015,113.54,2442785
3/24/2015,112.35,1032564
3/25/2015,111.59,1171867
3/26/2015,111.26,1078182
3/27/2015,110.9,1225912
3/30/2015,112.21,961026
3/31/2015,111.49,1131182
4/1/2015,110.99,1417268
4/2/2015,111.2,1170537
4/6/2015,111.26,965313
4/7/2015,111.35,1071901
4/8/2015,111.24,1346520
4/9/2015,111.76,894152
4/10/2015,111.9,657180
4/13/2015,111.94,739202
4/14/2015,111.91,1183549
4/15/2015,111.87,858437
4/16/2015,112.37,1166754
4/17/2015,110.14,1569990
4/20/2015,111.16,1043876
4/21/2015,109.01,2888194
4/22/2015,107.86,2567900
4/23/2015,108.31,1714455
4/24/2015,108.51,1404411
4/27/2015,107.88,1546197
4/28/2015,108.76,1315862
4/29/2015,108.04,1282820
4/30/2015,106.99,1450161
5/1/2015,107.63,798132
5/4/2015,107.44,1430232
5/5/2015,107.08,1265830
5/6/2015,106.92,1032264
5/7/2015,107.65,1219092
5/8/2015,108.78,888767
5/11/2015,108.28,950878
5/12/2015,107.05,1870774
5/13/2015,107.2,1326325
5/14/2015,108.59,1383641
5/15/2015,108.15,872986
5/18/2015,108.74,1162022
5/19/2015,108.94,973046
5/20/2015,109.11,830910
5/21/2015,108.9,1041648
5/22/2015,108.66,1552729
5/26/2015,106.78,2065045
5/27/2015,107.35,1210959
5/28/2015,107.58,847653
5/29/2015,106.48,1177524
6/1/2015,106.37,995445
6/2/2015,106.37,910783
6/3/2015,106.88,1107615
6/4/2015,105.81,1505662
6/5/2015,104.68,2080954
6/8/2015,103.3,1444745
6/9/2015,103.52,2682647
6/10/2015,105.06,1416756
6/11/2015,105.99,1013137
6/12/2015,105.48,828089
6/15/2015,105.43,1433291
6/16/2015,106.28,1169645
6/17/2015,106.33,978720
6/18/2015,107.66,1222707
6/19/2015,106.01,1364111
6/22/2015,106.13,877041
6/23/2015,106.41,850152
6/24/2015,105.23,1409746
6/25/2015,102.75,6178767
6/26/2015,103.47,2632942
6/29/2015,101.6,2367013
6/30/2015,101.68,1777388
7/1/2015,102.49,17647214
7/2/2015,103.74,5568414
7/6/2015,103.33,2979225
7/7/2015,104.46,3820505
7/8/2015,102.64,2794847
7/9/2015,103.49,3004146
7/10/2015,103.84,2404300
7/13/2015,104.23,1685450
7/14/2015,103.63,2703831
7/15/2015,103.78,3798949
7/16/2015,104.36,2759421
7/17/2015,104.14,1700321
7/20/2015,104.22,2123869
7/21/2015,103.88,3133780
7/22/2015,106.59,4582510
7/23/2015,106.45,3197470
7/24/2015,106.44,2061536
7/27/2015,107,3007140
7/28/2015,107.62,2554637
7/29/2015,107.99,1918197
7/30/2015,108.59,1531934
7/31/2015,108.77,4031408
8/3/2015,110.74,2660071
8/4/2015,110.37,2368581
8/5/2015,111.13,2394727
8/6/2015,110.14,1951874
8/7/2015,109.86,1465979
8/10/2015,110.11,1589848
8/11/2015,109.98,1799703
8/12/2015,109.13,1816537
8/13/2015,108.98,1516109
8/14/2015,109.67,1326157
8/17/2015,109.99,1391224
8/18/2015,110.48,1459561
8/19/2015,109.73,1917918
