Date,PX_LAST,PX_VOLUME
12/31/2014,61.1879,1472479
1/2/2015,62.5251,1408947
1/5/2015,63.0787,1800293
1/6/2015,63.4364,2043199
1/7/2015,64.3733,1719631
1/8/2015,65.0973,2122400
1/9/2015,65.5828,1909726
1/12/2015,66.3408,1803308
1/13/2015,65.6594,2071558
1/14/2015,66.5026,1460900
1/15/2015,66.8859,1388031
1/16/2015,67.6184,2204285
1/20/2015,66.4175,3457183
1/21/2015,66.2045,2149673
1/22/2015,67.5503,1805056
1/23/2015,67.9676,2127956
1/26/2015,68.2231,1792807
1/27/2015,68.3424,1373438
1/28/2015,67.8228,1641685
1/29/2015,67.5758,1768605
1/30/2015,66.1023,2333060
2/2/2015,65.668,2397703
2/3/2015,66.426,2193612
2/4/2015,67.2351,2702182
2/5/2015,68.3679,2177743
2/6/2015,66.5367,2992413
2/9/2015,66.3238,1346679
2/10/2015,66.179,3667034
2/11/2015,66.409,2092617
2/12/2015,68.0187,1950674
2/13/2015,67.0733,1884956
2/17/2015,67.2947,2024515
2/18/2015,68.1294,1674654
2/19/2015,66.0768,1672279
2/20/2015,66.9881,1835806
2/23/2015,68.0954,2038824
2/24/2015,66.4175,2011255
2/25/2015,66.179,2130917
2/26/2015,65.4465,1994824
2/27/2015,65.6083,2717801
3/2/2015,66.0768,1735765
3/3/2015,65.8042,1583455
3/4/2015,65.4465,1139661
3/5/2015,65.8639,1670400
3/6/2015,63.9049,1904984
3/9/2015,64.5692,1017259
3/10/2015,64.6885,1547713
3/11/2015,64.5266,1033197
3/12/2015,65.6935,2554502
3/13/2015,65.5998,1503405
3/16/2015,67.2011,1480308
3/17/2015,66.9626,1649194
3/18/2015,68.4872,1926098
3/19/2015,67.908,1574800
3/20/2015,69.6114,3097571
3/23/2015,69.3815,1295890
3/24/2015,68.8449,2217597
3/25/2015,67.1244,2605798
3/26/2015,66.8604,2742787
3/27/2015,66.8178,1861417
3/30/2015,67.2011,4372956
3/31/2015,66.3153,3194271
4/1/2015,66.0597,1849644
4/2/2015,66.6985,1461666
4/6/2015,67.3544,1045799
4/7/2015,66.179,1632425
4/8/2015,66.4686,2341964
4/9/2015,64.6203,1453837
4/10/2015,64.4074,1331300
4/13/2015,64.1519,1185774
4/14/2015,64.8162,1394505
4/15/2015,64.1434,1247918
4/16/2015,64.5352,1010026
4/17/2015,64.1519,1303286
4/20/2015,64.1093,1112665
4/21/2015,64.5352,1668273
4/22/2015,64.944,2104852
4/23/2015,65.1484,946377
4/24/2015,65.1995,835477
4/27/2015,65.3187,1396963
4/28/2015,65.1825,1754739
4/29/2015,64.2371,1894684
4/30/2015,62.9084,2344836
5/1/2015,63.6834,1601868
5/4/2015,64.0497,1267355
5/5/2015,62.2014,1525293
5/6/2015,61.716,2342440
5/7/2015,63.1809,1491986
5/8/2015,63.7431,1512758
5/11/2015,62.491,1476751
5/12/2015,62.8658,1444680
5/13/2015,62.5166,1565805
5/14/2015,63.8282,986147
5/15/2015,64.0326,1973874
5/18/2015,63.709,1125384
5/19/2015,63.5557,1065956
5/20/2015,63.7431,1392910
5/21/2015,63.4875,976715
5/22/2015,63.5557,921772
5/26/2015,62.985,997912
5/27/2015,63.9475,1615279
5/28/2015,63.7856,1158691
5/29/2015,63.3002,2989426
6/1/2015,63.8964,1311209
6/2/2015,62.8487,1140091
6/3/2015,61.2475,2297410
6/4/2015,61.2305,1451795
6/5/2015,60.8898,2034000
6/8/2015,60.5917,2785291
6/9/2015,60.251,1432946
6/10/2015,60.3787,1895521
6/11/2015,60.975,1716186
6/12/2015,60.9409,1133039
6/15/2015,60.9153,1660878
6/16/2015,61.8778,2016063
6/17/2015,62.7465,1881359
6/18/2015,63.6834,2738276
6/19/2015,63.0872,2473619
6/22/2015,62.1418,1878825
6/23/2015,61.1623,2151140
6/24/2015,60.7705,1751933
6/25/2015,60.1743,1441602
6/26/2015,60.6428,1803613
6/29/2015,59.7229,1969831
6/30/2015,59.7655,1812390
7/1/2015,61.0175,1936854
7/2/2015,61.8267,2759993
7/6/2015,62.1248,1836701
7/7/2015,63.0957,2379030
7/8/2015,63.0957,1815535
7/9/2015,63.1894,1714550
7/10/2015,63.6068,1458887
7/13/2015,63.3939,1702927
7/14/2015,63.7175,1185020
7/15/2015,63.6749,1539403
7/16/2015,63.939,1220309
7/17/2015,63.6494,1162503
7/20/2015,64.1178,1080190
7/21/2015,63.6834,1085967
7/22/2015,64.1774,851445
7/23/2015,63.479,1451117
7/24/2015,63.5216,2369887
7/27/2015,63.9219,1499702
7/28/2015,63.7856,1231482
7/29/2015,63.4109,2176633
7/30/2015,63.2746,2296948
7/31/2015,63.7175,1642115
8/3/2015,64.3222,924400
8/4/2015,63.5131,1312699
8/5/2015,63.4535,1383176
8/6/2015,63.6834,1523026
8/7/2015,64.0497,912085
8/10/2015,64.1178,1139005
8/11/2015,65.0462,1527364
8/12/2015,65.455,2132959
8/13/2015,65.4124,1109510
8/14/2015,65.702,979710
8/17/2015,66.0342,1509605
8/18/2015,66.1875,1492152
8/19/2015,65.1314,2092674
8/20/2015,64.697,1664080
8/21/2015,63.3598,2577659
8/24/2015,60.0636,2629176
8/25/2015,58.7264,2882987
8/26/2015,60.7194,2766426
8/27/2015,62.2781,1961555
8/28/2015,62.1248,1642943
8/31/2015,60.6854,3306449
9/1/2015,59.1778,1872600
9/2/2015,59.757,1197905
9/3/2015,59.9955,1380823
