Date,PX_LAST,PX_VOLUME
12/31/2014,57.03,944749
1/2/2015,56.97,1001208
1/5/2015,55.72,1054775
1/6/2015,56.08,1440861
1/7/2015,56.5,739663
1/8/2015,57.9,1156338
1/9/2015,57.54,976613
1/12/2015,59.2,1965594
1/13/2015,59.43,1770040
1/14/2015,58.92,1143594
1/15/2015,58.13,1340577
1/16/2015,58.29,1175939
1/20/2015,57.9,608029
1/21/2015,58.38,670941
1/22/2015,59.39,696005
1/23/2015,57.92,608123
1/26/2015,58.23,643201
1/27/2015,58.39,706689
1/28/2015,57.15,573362
1/29/2015,57.1,832374
1/30/2015,57.5,1054157
2/2/2015,57.83,771797
2/3/2015,59.46,1602865
2/4/2015,58.88,1292086
2/5/2015,62.06,3838240
2/6/2015,61.72,1717908
2/9/2015,61.66,1171815
2/10/2015,61.56,696979
2/11/2015,61.9,888536
2/12/2015,63.24,1214960
2/13/2015,63.68,1096470
2/17/2015,64.43,1405678
2/18/2015,64.03,1286908
2/19/2015,63.73,956974
2/20/2015,64.01,637958
2/23/2015,63.74,577632
2/24/2015,63.84,817452
2/25/2015,64.26,701832
2/26/2015,63.62,734403
2/27/2015,63.41,674496
3/2/2015,64.59,581063
3/3/2015,64,464796
3/4/2015,63.26,637249
3/5/2015,62.33,547207
3/6/2015,61.21,1128297
3/9/2015,61.31,1048475
3/10/2015,59.94,1255954
3/11/2015,60.22,569658
3/12/2015,60.62,650030
3/13/2015,60.25,887762
3/16/2015,60.09,949970
3/17/2015,59.35,1025748
3/18/2015,59.2,1324730
3/19/2015,58.95,913728
3/20/2015,59.63,1185773
3/23/2015,59.81,911960
3/24/2015,59.03,856248
3/25/2015,57.96,834741
3/26/2015,58.16,1188916
3/27/2015,57.02,1336658
3/30/2015,57.8,967868
3/31/2015,57.25,1488477
4/1/2015,57.02,1196388
4/2/2015,56.71,663709
4/6/2015,57.17,1526801
4/7/2015,57.26,739644
4/8/2015,57.31,809881
4/9/2015,57.36,1691802
4/10/2015,58.38,2573090
4/13/2015,58.71,916905
4/14/2015,58.52,1237936
4/15/2015,59.67,1270631
4/16/2015,59.18,883462
4/17/2015,58.02,1006068
4/20/2015,58.1,822206
4/21/2015,57.95,972353
4/22/2015,58.11,755119
4/23/2015,58.6,712260
4/24/2015,58.57,767140
4/27/2015,58.85,1755118
4/28/2015,59.1,1035988
4/29/2015,59.93,819323
4/30/2015,59.31,647268
5/1/2015,60.23,838170
5/4/2015,60.37,673488
5/5/2015,59.34,490448
5/6/2015,59.5,450055
5/7/2015,59.45,523410
5/8/2015,60.95,1514813
5/11/2015,60.68,2105760
5/12/2015,57.77,3899811
5/13/2015,58.87,2572807
5/14/2015,58.29,1128428
5/15/2015,58.36,624306
5/18/2015,57.69,728278
5/19/2015,57.34,674625
5/20/2015,57.25,438359
5/21/2015,57.79,610102
5/22/2015,58.26,673149
5/26/2015,57.72,772692
5/27/2015,57.95,680856
5/28/2015,57.92,740345
5/29/2015,57.17,1055533
6/1/2015,56.6,981561
6/2/2015,56.43,1945336
6/3/2015,57.54,842728
6/4/2015,56.47,624239
6/5/2015,56.07,630704
6/8/2015,55.58,839290
6/9/2015,55.13,820217
6/10/2015,55.55,1117110
6/11/2015,55.52,714744
6/12/2015,55.06,726695
6/15/2015,54.9,696257
6/16/2015,55.37,513222
6/17/2015,55.63,486299
6/18/2015,55.81,590163
6/19/2015,54.94,996961
6/22/2015,55.22,456897
6/23/2015,55.01,669512
6/24/2015,53.54,1208284
6/25/2015,53.21,982191
6/26/2015,53.48,1431055
6/29/2015,51.77,735957
6/30/2015,52.55,1691075
7/1/2015,51.79,1400895
7/2/2015,51.46,868321
7/6/2015,50.3,1008420
7/7/2015,49.99,1246557
7/8/2015,48.72,623524
7/9/2015,48.67,767442
7/10/2015,49.52,634458
7/13/2015,50.18,498307
7/14/2015,50.9,867163
7/15/2015,50.3,936296
7/16/2015,50.27,547864
7/17/2015,49.75,964398
7/20/2015,49.46,957245
7/21/2015,48.99,576291
7/22/2015,48.83,588304
7/23/2015,48.86,698331
7/24/2015,47.82,866598
7/27/2015,47.22,757870
7/28/2015,48.24,735404
7/29/2015,48.07,774690
7/30/2015,48.37,655473
7/31/2015,48.54,724056
8/3/2015,48.46,1151494
8/4/2015,48.69,724259
8/5/2015,48.5,842781
8/6/2015,49.07,1492103
8/7/2015,47.37,944420
8/10/2015,49.22,1184584
8/11/2015,48.31,850093
8/12/2015,47.39,939436
8/13/2015,46.48,1087963
8/14/2015,46.5,992391
8/17/2015,47.72,663599
8/18/2015,47.46,682519
8/19/2015,46.96,834960
8/20/2015,45.9,599195
8/21/2015,44.64,1356137
8/24/2015,43.14,1910118
8/25/2015,40.26,2801366
8/26/2015,40.27,3731357
8/27/2015,42.31,1789500
8/28/2015,42.4,1462992
8/31/2015,42.31,1134204
9/1/2015,40.54,1279175
9/2/2015,41.71,1830057
9/3/2015,42.31,1340816
9/4/2015,41.48,1320743
9/8/2015,42.33,1026135
9/9/2015,41.33,794731
9/10/2015,41.33,1144158
9/11/2015,41.6,1108466
9/14/2015,40.3,1061601
9/15/2015,40.26,1905746
9/16/2015,40.12,2415114
9/17/2015,38.79,2690268
9/18/2015,37.76,4183084
9/21/2015,37.5,2172781
9/22/2015,37.05,3650600
9/23/2015,36.35,2445153
9/24/2015,34.97,2895048
9/25/2015,34.46,1573843
9/28/2015,32.99,2641599
9/29/2015,32.93,2195886
9/30/2015,33.91,1980809
10/1/2015,33.87,2160903
10/2/2015,35.05,1540270
10/5/2015,35.82,1851474
10/6/2015,36.24,2407634
10/7/2015,37.33,2813457
10/8/2015,38.7,2850177
10/9/2015,38.48,1624579
10/12/2015,37.53,1132700
10/13/2015,36.35,5934965
10/14/2015,38.54,3061312
10/15/2015,38.05,2799924
10/16/2015,37.8,1176605
10/19/2015,37.46,1437750
10/20/2015,37.53,1854940
10/21/2015,36.41,2069395
10/22/2015,37.36,1623481
10/23/2015,37.5,1115871
10/26/2015,36.92,895735
10/27/2015,36.29,1373333
10/28/2015,37.52,1730861
10/29/2015,39.77,4248059
10/30/2015,40.71,3771784
11/2/2015,41.18,2289673
11/3/2015,41.37,1550982
11/4/2015,41.51,1291076
11/5/2015,41.47,1367535
11/6/2015,41.01,1101818
11/9/2015,40.6,969922
11/10/2015,40.16,693867
11/11/2015,39.76,766975
11/12/2015,39.75,1061447
11/13/2015,40.59,1007775
11/16/2015,41.48,1222402
11/17/2015,41.92,1591262
11/18/2015,43.03,3215928
11/19/2015,42.61,698729
11/20/2015,41.91,898356
11/23/2015,41.9,997972
11/24/2015,42.65,1184543
11/25/2015,42.73,728612
11/27/2015,42.19,259024
11/30/2015,42.97,1501931
12/1/2015,41.97,1173545
12/2/2015,41.14,1499032
12/3/2015,41.92,1631605
12/4/2015,42.44,1146352
12/7/2015,41.41,1295064
12/8/2015,40.01,1524826
12/9/2015,40.49,1863407
12/10/2015,39.48,1179270
12/11/2015,38.01,1399157
12/14/2015,37.06,2257652
12/15/2015,37.89,1499887
12/16/2015,38.68,1205648
12/17/2015,37.54,1415103
12/18/2015,37.93,2243372
12/21/2015,38.24,1221993
12/22/2015,39.25,892500
12/23/2015,40.78,958552
12/24/2015,40.58,363400
12/28/2015,39.93,710218
12/29/2015,40.39,724251
12/30/2015,39.69,628128
12/31/2015,39.13,699493
1/4/2016,37.98,1749421
1/5/2016,37.58,1413958
1/6/2016,36.02,1450050
1/7/2016,35.73,2157464
1/8/2016,35.67,1548589
1/11/2016,35.16,1502993
1/12/2016,35.55,1266404
1/13/2016,34.33,1259863
1/14/2016,35.36,1478878
1/15/2016,35.04,1453186
1/19/2016,34.81,1689733
1/20/2016,34.81,1700857
1/21/2016,35.11,1593656
1/22/2016,35.25,1731315
1/25/2016,33.65,949479
1/26/2016,34.83,1250615
1/27/2016,34.71,1125448
1/28/2016,34.62,669691
1/29/2016,35.72,975184
2/1/2016,35.67,1101611
2/2/2016,34.53,1198977
2/3/2016,36.08,897001
2/4/2016,37.6,1917960
2/5/2016,36.95,1029099
2/8/2016,34.95,1753030
2/9/2016,34.53,3426624
2/10/2016,34.21,1297451
2/11/2016,33.53,2171040
2/12/2016,35.04,1225143
2/16/2016,36.79,1995148
2/17/2016,37.86,1361629
2/18/2016,37.09,1224737
2/19/2016,35.95,686211
2/22/2016,37.83,1290915
2/23/2016,36.64,936248
2/24/2016,36.99,684035
2/25/2016,37.38,643994
2/26/2016,38.06,940907
2/29/2016,37.64,1344832
3/1/2016,38.38,943332
3/2/2016,38,1332987
3/3/2016,38.61,1376516
3/4/2016,40.48,2103488
3/7/2016,40.81,1420953
3/8/2016,38.71,1531615
3/9/2016,38.94,1433922
3/10/2016,39.21,953969
