Date,PX_LAST,PX_VOLUME
12/31/2014,160.44,4011909
1/2/2015,162.06,5525466
1/5/2015,159.51,4880389
1/6/2015,156.07,6146712
1/7/2015,155.05,4701839
1/8/2015,158.42,4241113
1/9/2015,159.11,4488347
1/12/2015,156.44,4187638
1/13/2015,156.81,4377510
1/14/2015,155.8,4690294
1/15/2015,154.57,4251723
1/16/2015,157.14,5756041
1/20/2015,156.95,8392773
1/21/2015,152.09,11897123
1/22/2015,155.39,6120113
1/23/2015,155.87,4834847
1/26/2015,156.36,7888143
1/27/2015,153.67,5659568
1/28/2015,151.55,4495933
1/29/2015,155.48,8320847
1/30/2015,153.31,6563570
2/2/2015,154.66,4712247
2/3/2015,158.47,5539406
2/4/2015,156.96,3678459
2/5/2015,157.91,5253637
2/6/2015,156.72,3256452
2/9/2015,155.75,3057726
2/10/2015,158.56,4440614
2/11/2015,158.2,3626658
2/12/2015,158.52,3333063
2/13/2015,160.4,3706919
2/17/2015,160.96,2894508
2/18/2015,162.19,4358385
2/19/2015,163.89,3504380
2/20/2015,163.65,3352982
2/23/2015,162.91,2714434
2/24/2015,164.83,4701626
2/25/2015,162.81,4004559
2/26/2015,160.87,7110772
2/27/2015,161.94,4410037
3/2/2015,160.48,5917862
3/3/2015,161.03,3234401
3/4/2015,159.42,3633635
3/5/2015,161.18,3791660
3/6/2015,158.5,4540174
3/9/2015,160.77,5193874
3/10/2015,157.81,4600968
3/11/2015,156.8,5709890
3/12/2015,157.98,4567346
3/13/2015,154.28,6064120
3/16/2015,157.08,3749638
3/17/2015,156.96,3311943
3/18/2015,159.81,5738827
3/19/2015,159.81,3878559
3/20/2015,162.88,9006417
3/23/2015,164.63,5930127
3/24/2015,163,4346145
3/25/2015,159.2,5428930
3/26/2015,160.59,4396024
3/27/2015,160.4,3477923
3/30/2015,162.67,4138018
3/31/2015,160.5,4255368
4/1/2015,159.18,3700791
4/2/2015,160.45,4671578
4/6/2015,162.04,3465682
4/7/2015,162.07,3147975
4/8/2015,161.85,2524323
4/9/2015,162.34,2263490
4/10/2015,162.86,2515703
4/13/2015,162.38,3868911
4/14/2015,162.3,2719287
