Date,PX_LAST,PX_VOLUME
12/31/2014,104.57,6202118
1/2/2015,104.52,5756961
1/5/2015,103.79,8079279
1/6/2015,103.28,7428022
1/7/2015,105.56,7931714
1/8/2015,106.39,9925854
1/9/2015,104.94,7364760
1/12/2015,104.58,6838966
1/13/2015,104.76,10155188
1/14/2015,104,8887694
1/15/2015,102.49,10834811
1/16/2015,104.04,14092276
1/20/2015,101.29,20467800
1/21/2015,101.9,11702890
1/22/2015,103.76,9036608
1/23/2015,102.2,10125960
1/26/2015,102.26,8962787
1/27/2015,102.09,10160531
1/28/2015,101.48,9053222
1/29/2015,102.38,7569330
1/30/2015,100.14,10676345
2/2/2015,100.83,8990701
2/3/2015,102.46,10005207
2/4/2015,101.36,9514074
2/5/2015,102.46,6642224
2/6/2015,101.1,9215663
2/9/2015,99.78,9851745
2/10/2015,100.35,12275450
2/11/2015,100.38,8177011
2/12/2015,98.44,25835156
2/13/2015,99.62,11153595
2/17/2015,100.44,8627082
2/18/2015,99.96,7878157
2/19/2015,100.7,10028180
2/20/2015,100.26,10085673
2/23/2015,100.18,6878246
2/24/2015,100.7,6588073
2/25/2015,101.21,9683963
2/26/2015,102.8,11437890
2/27/2015,102.51,8500014
3/2/2015,103.22,7277612
3/3/2015,102.34,6419659
3/4/2015,101.65,8665474
3/5/2015,102.52,8042336
3/6/2015,100.11,9287621
3/9/2015,100.66,5701061
3/10/2015,99.53,8735743
3/11/2015,98.32,9138141
3/12/2015,99.83,8317996
3/13/2015,99.21,7821813
3/16/2015,101.06,7726509
3/17/2015,99.89,7301526
3/18/2015,101.46,7972458
3/19/2015,101.69,6863107
3/20/2015,102.4,12433761
3/23/2015,102.98,9015961
3/24/2015,101.96,8390708
3/25/2015,100.34,8444099
3/26/2015,100.14,9972373
3/27/2015,100.34,5847382
3/30/2015,101.55,6061170
3/31/2015,100.6,8027954
4/1/2015,99.15,11368126
4/2/2015,99.64,6097146
4/6/2015,99.16,9697623
4/7/2015,100.1,7900303
4/8/2015,100.16,7354110
4/9/2015,101.33,8073887
4/10/2015,102.06,6786456
4/13/2015,100.55,10753497
4/14/2015,100.52,9322175
4/15/2015,100.6,8237103
4/16/2015,99.79,7324783
4/17/2015,99.58,11084248
4/20/2015,100.21,6668541
4/21/2015,100.3,6532698
4/22/2015,100.43,4764283
4/23/2015,100.46,7351494
4/24/2015,101.08,6566915
4/27/2015,100.58,9113861
4/28/2015,100.74,7484612
4/29/2015,100.39,8926249
4/30/2015,99.2,10170628
5/1/2015,100.13,6255973
5/4/2015,100.35,5532387
5/5/2015,99.5,8828129
5/6/2015,99.17,8030769
5/7/2015,99.66,6401552
5/8/2015,101.47,7508622
5/11/2015,101.03,5698884
5/12/2015,100.47,6903070
