Date,PX_LAST,PX_VOLUME
12/31/2014,48.075,4697456
1/2/2015,47.515,4985756
1/5/2015,46.75,6889172
1/6/2015,46.475,7576058
1/7/2015,47.435,7256056
1/8/2015,48.53,5997244
1/9/2015,47.995,4688920
1/12/2015,47.93,5630866
1/13/2015,47.505,6182188
1/14/2015,46.855,6750368
1/15/2015,46.405,4234950
1/16/2015,46.495,8769998
1/20/2015,46.805,9403824
1/21/2015,46.755,5854060
1/22/2015,47.925,6952332
1/23/2015,48.08,6781006
1/26/2015,48.175,4964092
1/27/2015,47.25,6696864
1/28/2015,46.655,6402676
1/29/2015,47.435,6802386
1/30/2015,46.125,8106318
2/2/2015,45.96,8056556
2/3/2015,46.675,7940116
2/4/2015,46.27,7187314
2/5/2015,46.67,5754348
2/6/2015,45.895,7381798
2/9/2015,45.585,7339396
2/10/2015,46.375,7694606
2/11/2015,45.655,8540992
2/12/2015,46,11855786
2/13/2015,46.02,7695562
2/17/2015,45.93,7370956
2/18/2015,46.81,8143716
2/19/2015,46.85,6605232
2/20/2015,47.465,7397950
2/23/2015,47.505,4622226
2/24/2015,47.71,5239428
2/25/2015,48.41,7053554
2/26/2015,48.495,5934942
2/27/2015,48.56,7118676
3/2/2015,49.375,11024948
3/3/2015,48.985,7038466
3/4/2015,48.76,4853074
3/5/2015,49.23,6633694
3/6/2015,48.455,7174696
3/9/2015,48.715,5938868
3/10/2015,48.255,7095986
3/11/2015,47.67,7484130
3/12/2015,48.52,5809796
3/13/2015,47.905,7396106
3/16/2015,48.22,8497008
3/17/2015,48.27,6408236
3/18/2015,48.755,8855660
3/19/2015,49.16,13536086
3/20/2015,50.99,29779820
3/23/2015,50.73,10471888
3/24/2015,50.325,7598814
3/25/2015,49.495,8133494
3/26/2015,49.665,9479732
3/27/2015,49.94,4403500
3/30/2015,50.445,5435458
3/31/2015,50.165,6309234
4/1/2015,49.775,6605356
4/2/2015,49.83,3840442
4/6/2015,49.865,5027514
4/7/2015,49.805,3993638
4/8/2015,50.42,6522368
4/9/2015,50.36,5300988
4/10/2015,49.985,5918122
4/13/2015,49.635,7313732
4/14/2015,49.765,4770844
4/15/2015,49.915,5716284
4/16/2015,49.95,4103938
4/17/2015,49.275,6049532
4/20/2015,49.995,6208572
4/21/2015,50.145,5125302
4/22/2015,50.075,3905790
4/23/2015,50.555,4668126
4/24/2015,50.475,4333902
4/27/2015,50.47,5158348
4/28/2015,49.93,6031624
4/29/2015,50.085,5395124
4/30/2015,49.42,6496960
5/1/2015,50.39,6683498
5/4/2015,50.415,4557780
5/5/2015,50.21,5104504
5/6/2015,50.11,5396500
5/7/2015,50.725,5526328
5/8/2015,51.22,5534780
5/11/2015,51.395,5339820
5/12/2015,51.185,4676460
5/13/2015,51.08,4508286
5/14/2015,51.72,5433374
5/15/2015,52.49,7865296
5/18/2015,52.375,5045232
5/19/2015,52.32,5971288
5/20/2015,52.305,5400302
5/21/2015,52.2,5455100
5/22/2015,52.215,5654776
5/26/2015,51.71,5691368
5/27/2015,51.42,8896744
5/28/2015,51.15,5781666
5/29/2015,50.835,5562280
6/1/2015,50.88,4944150
6/2/2015,51.055,4974676
6/3/2015,51.255,4766704
6/4/2015,50.975,4467168
6/5/2015,51.015,3791746
6/8/2015,50.72,4314090
6/9/2015,50.675,3476844
6/10/2015,51.67,6270398
6/11/2015,51.94,6178028
6/12/2015,51.89,4133038
6/15/2015,51.675,4901994
6/16/2015,52.28,5034098
6/17/2015,52.375,4072494
6/18/2015,53,5690530
6/19/2015,53.265,7285558
6/22/2015,53.395,4186666
6/23/2015,53.6,5934286
6/24/2015,53.11,5056198
6/25/2015,52.61,10811370
6/26/2015,54.855,20287620
6/29/2015,53.835,9004902
6/30/2015,54.01,7531108
7/1/2015,54.715,5923952
7/2/2015,54.935,5900022
7/6/2015,54.92,4991324
7/7/2015,55.645,7207070
7/8/2015,54.635,6733634
7/9/2015,54.72,6168402
7/10/2015,55.26,5160156
7/13/2015,56.205,5047642
7/14/2015,56.17,5561468
7/15/2015,55.95,5017136
7/16/2015,56.17,4335714
7/17/2015,56.4,4545314
7/20/2015,56.565,5978202
7/21/2015,56.495,4626320
7/22/2015,57.045,5954128
7/23/2015,57,6714788
7/24/2015,56.495,5967242
7/27/2015,55.865,6648060
7/28/2015,56.735,6948236
7/29/2015,57.46,6839892
7/30/2015,57.505,5594062
7/31/2015,57.61,5078650
8/3/2015,57.415,4991998
8/4/2015,57.885,5228992
8/5/2015,58.375,6853064
8/6/2015,57.56,6211466
8/7/2015,57.255,5907890
8/10/2015,57.68,4613264
8/11/2015,57.23,5107412
8/12/2015,56.53,7174684
8/13/2015,56.8,5907732
8/14/2015,57.18,4686134
8/17/2015,57.49,3917460
8/18/2015,57.41,3671450
8/19/2015,57.48,6216434
8/20/2015,56.15,6536846
8/21/2015,53.435,15912850
8/24/2015,51.935,19882610
8/25/2015,51.765,13616108
8/26/2015,54.38,15156048
8/27/2015,56.31,13617324
8/28/2015,56.25,7526116
8/31/2015,55.875,7073574
9/1/2015,54.315,9385236
9/2/2015,55.35,8536314
9/3/2015,55.425,6065052
9/4/2015,54.845,7127068
9/8/2015,55.875,5511324
9/9/2015,54.93,6349722
9/10/2015,55.19,7362902
9/11/2015,55.91,5589552
9/14/2015,55.945,6833274
9/15/2015,56.92,7699312
9/16/2015,57.79,8104442
9/17/2015,57.635,8062642
9/18/2015,57.525,18614998
9/21/2015,58.28,8746568
9/22/2015,57.985,7555490
9/23/2015,57.715,9055706
9/24/2015,57.395,14352696
9/25/2015,62.5,36968186
9/28/2015,61.07,16450704
9/29/2015,59.835,14414414
9/30/2015,61.485,9437808
10/1/2015,61.915,8994220
10/2/2015,62.605,9114408
10/5/2015,62.135,9647392
10/6/2015,61.595,7665362
10/7/2015,61.05,10223060
10/8/2015,62.455,7622644
10/9/2015,62.47,6940522
10/12/2015,63.215,5448910
10/13/2015,62.905,6355354
10/14/2015,62.92,6509064
10/15/2015,64.395,10764798
10/16/2015,65.235,9321616
10/19/2015,66.605,12587856
10/20/2015,66.185,9104196
10/21/2015,66.235,5505722
10/22/2015,66.205,9294752
10/23/2015,65.265,10517736
10/26/2015,65.69,6882718
10/27/2015,65.41,6150040
10/28/2015,65.645,7091306
10/29/2015,65.56,4958976
10/30/2015,65.515,7230828
11/2/2015,65.595,6123180
11/3/2015,65.7,5491944
11/4/2015,65.18,5190268
11/5/2015,65.93,5068298
11/6/2015,65.89,4837624
11/9/2015,65.24,6181194
11/10/2015,65,5287416
11/11/2015,63.71,8578050
11/12/2015,62.99,9387950
11/13/2015,60.93,16370976
11/16/2015,61.73,9146492
11/17/2015,61.29,10581526
11/18/2015,62.89,10597700
11/19/2015,62.89,8557562
11/20/2015,66.325,19064750
11/23/2015,66.23,7135562
11/24/2015,66.255,5311542
11/25/2015,67.065,6989012
11/27/2015,67.165,4528234
11/30/2015,66.14,8738868
12/1/2015,66.655,6857084
12/2/2015,66.325,7965540
12/3/2015,64.56,10649740
12/4/2015,66.165,7410410
12/7/2015,65.8,6189962
12/8/2015,65.85,5605710
12/9/2015,64.42,7442890
12/10/2015,64.32,5682544
12/11/2015,63.145,8276024
12/14/2015,63.93,7991328
12/15/2015,64.305,6869524
12/16/2015,65.465,7542148
12/17/2015,65.11,7400800
12/18/2015,64.26,13804660
12/21/2015,64.9,8972684
12/22/2015,65.925,17218398
12/23/2015,64.355,57319300
12/24/2015,63.18,13890843
12/28/2015,63.81,8786830
12/29/2015,64.26,6708638
12/30/2015,63.25,5817947
12/31/2015,62.5,6454656
1/4/2016,61.52,11626813
1/5/2016,62.38,9220645
1/6/2016,61.49,6551556
1/7/2016,59.85,10881313
1/8/2016,58.87,11191253
1/11/2016,59.55,12824968
1/12/2016,59.94,8292167
1/13/2016,58.78,9944268
1/14/2016,58.51,9989036
1/15/2016,57.56,12208250
1/19/2016,58.32,9924279
1/20/2016,59.04,16234233
1/21/2016,60.56,16121599
1/22/2016,60.88,8430089
1/25/2016,60.7,10383418
1/26/2016,61.11,8005226
1/27/2016,59.58,8593736
1/28/2016,61.2,10207035
1/29/2016,62.01,10475161
2/1/2016,63.16,8247810
2/2/2016,62.55,9458486
2/3/2016,62.49,7213516
2/4/2016,60.17,10455716
2/5/2016,57.17,14415858
2/8/2016,55.04,21214515
2/9/2016,55.68,10915657
2/10/2016,57.41,13376815
2/11/2016,56,13090937
2/12/2016,56.42,10229492
2/16/2016,57.79,8057969
2/17/2016,58.17,10332698
2/18/2016,58.6,9658703
2/19/2016,59.31,10080086
2/22/2016,60.17,11523446
2/23/2016,60.21,7504589
2/24/2016,60.4,10390838
2/25/2016,62.38,8524250
2/26/2016,62.6,8896102
2/29/2016,61.59,7720619
3/1/2016,62.92,7438258
3/2/2016,62.22,8465840
3/3/2016,61.47,7924362
3/4/2016,61.26,7279438
3/7/2016,59.25,12829552
3/8/2016,59.81,9307915
3/9/2016,58.33,12766907
3/10/2016,58.88,9402576
3/11/2016,60.08,8834380
3/14/2016,60.81,7090509
3/15/2016,61.4,6188824
3/16/2016,61.86,7018279
3/17/2016,63.18,9926830
3/18/2016,62.99,13192883
3/21/2016,64.72,13635416
3/22/2016,64.9,18212861
3/23/2016,62.44,26987016
3/24/2016,61.65,12231325
3/28/2016,61.34,7898992
3/29/2016,61.49,7837765
3/30/2016,62.04,7859341
3/31/2016,61.47,8257807
4/1/2016,61.59,7555272
4/4/2016,59.97,16523442
4/5/2016,59.67,7554009
4/6/2016,60.31,10201539
4/7/2016,60.3,7092947
4/8/2016,59.42,8761653
4/11/2016,57.92,12593383
4/12/2016,58.55,12471148
4/13/2016,59.58,10629071
4/14/2016,59.49,7785161
4/15/2016,59.5,7653565
4/18/2016,59.57,6075932
4/19/2016,59.56,6594446
4/20/2016,59.62,7177508
4/21/2016,60.08,7156668
4/22/2016,59.43,8294326
4/25/2016,59.21,6117737
4/26/2016,59.54,5582155
4/27/2016,59.27,8094578
4/28/2016,58.54,6028575
4/29/2016,58.94,8178658
5/2/2016,59.59,8647783
5/3/2016,59.52,8061257
5/4/2016,59.11,8062777
5/5/2016,58.19,7845960
5/6/2016,58.43,7307963
5/9/2016,58.72,5604923
5/10/2016,59.2,7600153
5/11/2016,57.01,12822988
5/12/2016,57.99,8083739
5/13/2016,57.31,7392620
5/16/2016,57.14,8045888
5/17/2016,57.1,7620685
5/18/2016,56.12,11532822
5/19/2016,57.04,9376468
5/20/2016,56.48,13745298
5/23/2016,55.99,7780729
5/24/2016,56.59,11098667
5/25/2016,55.99,9921707
5/26/2016,55.84,9063054
5/27/2016,56.19,8525892
5/31/2016,55.22,14233551
