Date,PX_LAST,PX_VOLUME
12/31/2014,53.24,1856145
1/2/2015,53.34,2384763
1/5/2015,54.24,6398845
1/6/2015,54.16,5959468
1/7/2015,54.59,2595277
1/8/2015,55.28,2598476
1/9/2015,55.83,5319414
1/12/2015,55.43,2669755
1/13/2015,56.51,4563381
1/14/2015,57.65,4303822
1/15/2015,57.61,4237131
1/16/2015,58.16,3036841
1/20/2015,58.3,2413749
1/21/2015,58.47,2888353
1/22/2015,58.2,2518360
1/23/2015,58.87,2742422
1/26/2015,59.4,2344258
1/27/2015,59.41,3414878
1/28/2015,59.29,2783271
1/29/2015,60.15,2913212
1/30/2015,58.81,3172883
2/2/2015,58.63,2550625
2/3/2015,58.85,3172071
2/4/2015,57.91,3780499
2/5/2015,58.06,4917789
2/6/2015,56.06,3613018
2/9/2015,55.77,3013385
2/10/2015,56.81,4218655
2/11/2015,55.2,5351800
2/12/2015,55.2,3883619
2/13/2015,54.06,4574321
2/17/2015,54.39,4569661
2/18/2015,55.55,3979526
2/19/2015,55.05,2071113
2/20/2015,54.98,1791661
2/23/2015,55.26,1821595
2/24/2015,55.15,2253212
2/25/2015,54.11,2379198
2/26/2015,53.92,2070051
2/27/2015,53.73,3118726
3/2/2015,53.4,3637209
3/3/2015,53.71,4373200
3/4/2015,53.63,3293268
3/5/2015,53.83,2639695
3/6/2015,52.2,2471953
3/9/2015,52.07,2085645
3/10/2015,51.77,2204224
3/11/2015,51.38,1790182
3/12/2015,52.41,1780067
3/13/2015,51.8,3318715
3/16/2015,53.55,5506544
3/17/2015,53.05,3905630
3/18/2015,54.25,3929123
3/19/2015,53.61,2117966
3/20/2015,53.96,4867779
3/23/2015,54.49,2460903
3/24/2015,53.46,2709276
3/25/2015,52.76,2549418
3/26/2015,52.37,2059183
3/27/2015,52.01,1744044
3/30/2015,52.95,3209969
3/31/2015,53.07,5086175
4/1/2015,53.12,2338788
4/2/2015,53.59,2334521
4/6/2015,54.27,1861203
4/7/2015,53.48,2525334
4/8/2015,53.61,2258088
4/9/2015,52.78,5089024
4/10/2015,53.04,3571386
4/13/2015,52.35,1603610
4/14/2015,52.3,2345932
4/15/2015,51.92,2576982
4/16/2015,51.92,5135133
4/17/2015,52.36,4328229
4/20/2015,52.58,2864320
4/21/2015,52.03,3696273
4/22/2015,51.85,3257970
4/23/2015,52.19,2484514
4/24/2015,52.74,1711678
4/27/2015,51.87,2092372
4/28/2015,52.6,2205424
4/29/2015,53.92,7885081
4/30/2015,52.92,5687544
5/1/2015,53.49,2331797
5/4/2015,53.67,4492398
5/5/2015,52.35,3431091
5/6/2015,51.93,1996449
5/7/2015,51.77,2589761
5/8/2015,52.4,2127845
5/11/2015,52.06,1964753
5/12/2015,51.68,2146690
5/13/2015,50.94,1837557
5/14/2015,51.43,2058609
5/15/2015,52.01,2188979
5/18/2015,52.52,1964843
5/19/2015,53.01,2803862
5/20/2015,52.85,2898420
5/21/2015,53.15,1961913
5/22/2015,52.71,2567740
5/26/2015,52.68,1944667
5/27/2015,53.26,2030695
5/28/2015,53.36,2835923
5/29/2015,53.47,2641363
6/1/2015,53.66,2527678
6/2/2015,52.9,3136248
6/3/2015,51.97,3445074
6/4/2015,51.85,2501747
6/5/2015,51.36,4312273
6/8/2015,50.79,2289583
6/9/2015,50.33,3562387
6/10/2015,50.43,3032972
6/11/2015,50.62,2872599
6/12/2015,50.24,2002855
6/15/2015,49.81,2658789
6/16/2015,50.11,2081983
6/17/2015,50.8,2131025
6/18/2015,51.69,2552726
6/19/2015,51.08,4780615
6/22/2015,51.15,2353593
6/23/2015,50.44,2364793
6/24/2015,49.85,4142452
6/25/2015,49.6,3418760
6/26/2015,49.7,3099420
6/29/2015,49.33,2662768
6/30/2015,49.1,3082340
7/1/2015,49.38,3031084
7/2/2015,49.79,3714667
7/6/2015,50.03,2697793
7/7/2015,51.4,4067133
7/8/2015,51.43,3034587
7/9/2015,50.7,2557915
7/10/2015,51.12,2178940
7/13/2015,51.22,1609333
7/14/2015,51,2209254
7/15/2015,51.42,1676680
7/16/2015,52.27,1457604
7/17/2015,51.33,2419455
7/20/2015,51.19,1428954
7/21/2015,50.6,2105872
