Date,PX_LAST,PX_VOLUME
12/31/2014,115,2363504
1/2/2015,115.04,3143341
1/5/2015,113.12,4765317
1/6/2015,111.52,5772347
1/7/2015,112.73,3102192
1/8/2015,114.65,3899898
1/9/2015,114.02,3825098
1/12/2015,114.45,5016167
1/13/2015,114.34,4196389
1/14/2015,113.52,3508767
1/15/2015,113.52,3170579
1/16/2015,116.15,5773180
1/20/2015,117.53,5466007
1/21/2015,119.03,7177606
1/22/2015,120.45,6562889
1/23/2015,119.98,4298407
1/26/2015,118.75,5693891
1/27/2015,119.16,7328147
1/28/2015,116.92,4341133
1/29/2015,116.45,6328643
1/30/2015,114.78,4623061
2/2/2015,116.58,3516946
2/3/2015,118.89,4491456
2/4/2015,117.79,3208352
2/5/2015,120.11,4687311
2/6/2015,119.81,2829579
2/9/2015,119.32,2560723
2/10/2015,119.4,2559971
2/11/2015,118.69,2707605
2/12/2015,119.59,2896974
2/13/2015,121.25,3802107
2/17/2015,121.32,3241224
2/18/2015,121.99,3475166
2/19/2015,122.91,3407031
2/20/2015,124.11,4062205
2/23/2015,123.72,2737285
2/24/2015,123.79,2455405
2/25/2015,123.37,2872904
2/26/2015,122.67,2498163
2/27/2015,121.91,3085284
3/2/2015,123.19,2325874
3/3/2015,121.7,3187492
3/4/2015,121.04,2123219
3/5/2015,120.79,1928310
3/6/2015,119.43,3663073
3/9/2015,121.75,4127954
3/10/2015,117.4,5583789
3/11/2015,118.34,3747890
3/12/2015,121.24,4907836
3/13/2015,118.74,7361469
3/16/2015,120.07,4674653
3/17/2015,119.86,3822816
3/18/2015,120.31,5280210
3/19/2015,119.38,2880840
3/20/2015,119.46,8206972
3/23/2015,118.68,4542797
3/24/2015,118.92,4033815
3/25/2015,116.46,4456462
3/26/2015,116.04,4389728
3/27/2015,116.9,2803961
3/30/2015,118.83,3000806
3/31/2015,117.2,3525431
4/1/2015,115.92,3426211
4/2/2015,117.13,4227259
4/6/2015,117.86,2857340
4/7/2015,117.49,2269068
4/8/2015,117.84,2484096
4/9/2015,117.88,2088375
4/10/2015,118.46,2254656
4/13/2015,117.41,3030384
4/14/2015,117.69,2606397
4/15/2015,117.87,2774671
4/16/2015,117.48,2905076
4/17/2015,115.11,4318546
4/20/2015,116.51,4007514
4/21/2015,116.95,4584964
4/22/2015,116.96,2792901
4/23/2015,117.26,2632790
4/24/2015,116.16,3523148
4/27/2015,115.74,3920342
4/28/2015,116.08,2746680
4/29/2015,115.38,2893819
4/30/2015,113.75,3899200
5/1/2015,115.44,2781683
5/4/2015,116.45,3925288
